id,vehicles,pedestrians,cyclist,fatalities,injuries,date,lat,lon,geom,fatality,serious_injury_inja,moderate_injury_injb,minor_injury_injc,nonfatal_injury,uninjured_children_age_0004,uninjured_persons,pedestrian,pedestrian_fatality,pedestrian_nonfatal_injury,pedalcyclist,pedalcyclist_fatality,pedalcyclist_nonfatal_injury,unknown_nonmotorist,unknown_nonmotorist_fatality,unknown_nonmotorist_injury,vehicle_occupant,persons_involved,persons_using_safety_equipment,persons_not_using_safety_equipment,persons_safety_equipment_use_unknown
1402680,2,0,0,0,2,2/4/2011 20:00,45.52304122011111,-122.66780055005556,"SRID=4326;POINT(-122.66780055005556, 45.52304122011111)",0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
1404108,2,0,0,0,0,2/27/2011 0:00,45.52295080008333,-122.6625392735,"SRID=4326;POINT(-122.6625392735, 45.52295080008333)",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2
1404562,2,0,0,0,1,1/10/2011 16:00,45.50812198313889,-122.66883983058334,"SRID=4326;POINT(-122.66883983058334, 45.50812198313889)",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1
1404639,2,0,0,0,1,1/11/2011 14:00,45.50062967863889,-122.67253187111112,"SRID=4326;POINT(-122.67253187111112, 45.50062967863889)",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0
1404796,2,0,0,0,1,1/12/2011 17:00,45.53909261127777,-122.68179776455555,"SRID=4326;POINT(-122.68179776455555, 45.53909261127777)",0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,4,4,4,0,0
1405164,2,0,0,0,0,1/15/2011 10:00,45.50734774722222,-122.67017971863889,"SRID=4326;POINT(-122.67017971863889, 45.50734774722222)",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2
1405531,2,0,0,0,1,1/19/2011 15:00,45.50838005827778,-122.66839319408334,"SRID=4326;POINT(-122.66839319408334, 45.50838005827778)",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1
1405541,3,0,0,0,0,1/19/2011 17:00,45.50840644486111,-122.66834752869445,"SRID=4326;POINT(-122.66834752869445, 45.50840644486111)",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,2,0,1
1406130,2,0,0,0,0,2/22/2011 21:00,45.53806861113889,-122.68318690830556,"SRID=4326;POINT(-122.68318690830556, 45.53806861113889)",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,0,1
1406165,2,0,0,0,0,1/24/2011 17:00,45.53820055925,-122.68287824058334,"SRID=4326;POINT(-122.68287824058334, 45.53820055925)",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,0,1
